"absolute poverty","inability to meet a bare minimum of basic necessities, including clean drinking water, food, safe housing, and reliable access to healthcare"
"acetylcholine (ACh)","the neurotransmitter used at the neuromuscular junction, throughout the PNS and by the preganglionic neurons of the SNS"
"acetylcholinesterase","the enzyme that breaks down ACh in the synaptic cleft"
"achieved status","statuses that are considered to be due largely to an individual's efforts"
"acquisition","in classical conditioning, the process of learning the association between a conditioned stimulus and response"
"action potential","localized change in the neuron's membrane potential that propagates away from its point of origin. All-or-none processes mediated by the opening of voltage gated sodium and potassium channels when the membrane is brought to threshold potential; opening of sodium channels causes characteristic depolarization, while opening sodium channels repolarizes the membrane"
"activation-synthesis theory","theory that dreams are simply byproducts of brain activation during REM sleep. Suggests that the content of dreams is not purposeful or meaningful"
"actor-observer bias/self-serving bias","tendency to blame our actions on the situation and blame the actions of others on their personalities"
"addiction","a compulsion to do an act repeatedly; can consist of a psychological dependence and/or a physical dependence as evidenced by drug addiction withdrawal"
"adrenal cortex","outer region of the adrenal gland. the adrenal cortex produces cortisol in response to long-term chronic stress and aldosterone in response to low blood pressure and blood osmolarity"
"adrenal medulla","inner region of the adrenal gland, and part of the SNS and releases epinephrine and norepinephrine into the bloodstream when stimulated. Epi and norepi. prolong and enhance the effect of the sympathetic stimulation on the body"
"adrenocorticotropic hormone (ACTH)","a tropic hormone produced by the anterior pituitary gland that targets the adrenal cortex, stimulating it to release cortisol and aldosterone"
"affect","a person's visible emotion in the moment"
"affirmative action","policies that take factors like race and sex into consideration to benefit underrepresented groups in admissions or job hiring decisions; these policies have been used to benefit those believed to be current or past victims of discrimination"
"aggregate","people who exist in the same space but do not interact or share a common sense of identity"
"aggression","behavior that is forceful, hostile, or attacking. in sociology, aggression is considered something that is intended to cause harm or promote social dominance within a group"
"Mary Ainsworth","famous for her strange situation experiments where mothers would leave their infants in an unfamiliar environment to see how they would react. Studies suggested a distinction between securely attached infants and insecurely attached infants"
"algorithm","a step-by-step detailing the steps that aids with problem solving"
"alpha waves","low amplitude, high frequency brain waves present in a relaxed state. alpha waves are the first indicator that a person is ready to drift off to sleep"
"altruism","a behavior that helps ensure the success or survival of the rest of the social group, possibly at the expense of the success or survival of the individual"
"Alzheimer's disease","most prevalent forms of the dementia, characterized behaviorally by the inability to form new memories, known as anterograde amnesia"
"amalgamation","occurs when majority and minority groups combine to form a new group"
"amygdala","almond-shaped structure deep within the brain that orchestrates emotional experiences"
"anal stage","the second stage of Freud's five psychosexual stages; in this stage the child seeks sensual pleasure through control of elimination"
"anterior pituitary gland","adenohypophysis and is made of glandular tissue and it makes and secretes six different hormones: FSH, LH, ACTH, TSH, prolactin, and growth hormone. it is controlled by releasing and inhibiting factors from the hypothalamus"
"anterograde amnesia","inability to form new memories"
"antisocial personality disorder","psychological disorder characterized by a history of serious behavior problems beginning in adolescence, including significant aggression against people or animals, deliberate property destruction, lying or theft, and serious rule violation"
