Mary Ainsworth,famous for her strange situation experiments where mothers would leave their infants in an unfamiliar environment to see how they would react. Studies suggested a distinction between securely attached infants and insecurely attached infants,People,
Solomon Asch,Conducted research on conformity and group pressure by placing subjects in a room with several confederates and observing behavior of the subject when the confederates provided clearly wrong answers to questions,People,
Albert Bandura,famous for his Bobo doll studies that demonstrated observational learning; also pioneered the idea of the importance of self-efficacy in promoting learning,People,
Raymond Cattell,"psychologist interested in personality, who used factor analysis with hundreds of surface traits to identify which traits were related to each other. By this process, he identified sixteen source traits, and by factor analysis reduced fifteen of these into five global factors: extroversion, anxiety, receptivity, accommodation, and self-control",People,
Emile Durkheim,"considered the father of sociology and a major proponent of functionalism, and he was the pioneer of modern social research and established the field of sociology as separate and distinct from psychology and political philosophy",People,
Erik Erikson,"Erikson extended Freud's theory of developmental stages in two ways: added social and interpersonal factors, to supplement Freud's focus on unconscious conflicts within a person. And Erikson delineated additional developmental stages and conflicts in adolescence and adulthood, to supplement Freud's focus on early childhood. Erikson's stages include: trust vs. mistrust, autonomy vs. shame and doubt, initiative vs. guilt, industry vs. inferiority, identity vs. role confusion, intimacy vs. isolation, generativity vs. stagnation, and integrity vs. despair",People,
Sigmund Freud,Austrian neurologist who is considered the founding father of psychoanalytic theory,People,
Phineas Gage,"famous case of a man who suffered damage to his prefrontal cortex after a railroad tie blasted through his head. His symptoms, due to damage to this area, included impulsivity, an inability to stick to plans, and an inability to demonstrate empathy",People,
Ludwig Gumplowicz,"expanded upon Marx's ideas about conflict theory by proposing that society is shaped by war and conquest, and that cultural and ethnic conflicts lead to certain groups becoming dominant over other groups",People,
Kohlberg's stages of moral development,"Six identifiable developmental stages of moral reasoning, which form the basis of ethical behavior. The pre-conventional (level 1) contains the first stage (obedience and punishment orientation) and second stage (self-interest orientation). The conventional (level 2) contains the third stage (interpersonal accord and conformity) and fourth stage (authority and social-order maintaining orientation). The post-conventional (level 3) contains the fifth stage (social contract orientation) adn sixth stage (universal ethical principles).",People,
Karl Marx,"closely identified with conflict theory, Marx argued that societies progress through class struggle between those who own and control production and those who labor and provide the manpower for production. He believed that capitalism produced internal tensions which would ultimately lead to self-destruction of capitalist society, to be replaced by socialism. Karl Marx, along with Emile Durkheim and Max Weber, is considered a founding father of sociology",People,
Stanley Milgram,"conducted research on obedience where he asked subjects to administer a shock to what they thought was another subject (but was just an actor), and he monitored the degree of subjects' compliance or obedience",People,
Carl Rogers,"the founder of humanistic psychology perspective, pioneered the person-centered approach to therapy",People,
B.F. Skinner,"coined the term ""operant conditioning."" He is famous for his ""Skinner Box"" in which he used reinforcements to shape animal behavior",People,
Max Weber,"Weber agreed with Marx's ideas about conflict theory, but he did not believe that the collapse of capitalism was inevitable; rather, he argued that there could be more than one source of conflict such as conflict over inequalities in political power and social status. Max Weber, along with Emile Durkheim and Karl Marx, is considered the founding father of sociology",People,
Philip Zimbardo,"psychologist best known for his prison study which elucidated the extreme effects of role playing on human behavior and a group of 24 male students were isolated and asked to play the roles of prisoners and guards; the participants adapted to their roles well beyond Zimbardo's expectations. The ""guards"" enforced extreme measures, including psychological torture, and many of the ""prisoner"" passively accepted psychological abuse and readily harassed other ""prisoner"" who attempted to prevent it",People,
