tag1,tag2,subsection,term,definition
Psychology,Learning,"Cognition, language & intelligence",algorithm,a step-by-step detailing the steps that aids with problem solving
Psychology,Learning,"Cognition, language & intelligence",altruism,"a behavior that helps ensure the success or survival of the rest of the social group, possibly at the expense of the success or survival of the individual"
Psychology,Learning,"Cognition, language & intelligence",attitude,"person's feelings and beliefs about other people or events around him, and his behavioral restrictions based on those underlying evaluations"
Psychology,Learning,"Cognition, language & intelligence",behavioral genetics,study the role of inheritance in interacting with experience to determine an individual's personality and behaviors
Psychology,Learning,"Cognition, language & intelligence",behavioral therapy,type of therapy uses conditioning to shape a client's behaviors in the desired direction
Psychology,Learning,"Cognition, language & intelligence",borderline personality,"characterized by enduring or recurrent instability in impulse control, mood, and image of self and others. impulsive and reckless behavior, together with extreme mood swings, reactivity, and anger, can lead to unstable relationships and to damage both of the person with the disorder and of others in his or her life"
Psychology,Learning,"Cognition, language & intelligence",catatonic-type SCZ,psychological disorder characterized by psychosis in the form of catatonic behavior (including extremely retarded or excited motor activity)
Psychology,Learning,"Cognition, language & intelligence",cognitive behavioral therapy (CBT),therapy that addresses thoughts and behaviors that are maladaptive by using goal-oriented and systematic techniques
Psychology,Learning,"Cognition, language & intelligence",cognitive psychology,"tradition of psychology that focuses on the brain, cognitions, and thoughts as mediating learning and stimulus-response behaviors"
Psychology,Learning,"Cognition, language & intelligence",conformity,phenomenon of adjusting behavior or thinking based on the behavior or thinking of others
Psychology,Learning,"Cognition, language & intelligence",death instinct,"according to the psychoanalytic theory, the death instinct drives aggressive behaviors fueled by an unconscious wish to die or to hurt oneself or others"
Psychology,Learning,"Cognition, language & intelligence",folkways,"norms that are more informal, yet shape everyday behavior (styles of dress, ways of greeting)"
Psychology,Learning,"Cognition, language & intelligence",fundamental attribution error,when we tend to underestimate the impact of the situation and overestimate the impact of a person's character or personality on their behavior
Psychology,Learning,"Cognition, language & intelligence",general intelligence,foundational base of intelligence that supports more specialized abilities
Psychology,Learning,"Cognition, language & intelligence",group pressure (peer pressure),"pressure exerted by a group that causes one to change behaviors, values, attitudes, or beliefs"
Psychology,Learning,"Cognition, language & intelligence",heuristics,mental shortcuts used for problem solving and using them sacrifices accuracy for speed
Psychology,Learning,"Cognition, language & intelligence",illusory correlation,"perceived relationship between two things (people, events, or behaviors) even when none exists"
Psychology,Learning,"Cognition, language & intelligence",justification of effort,"when people modify their attitudes to match their behaviors, specifically those involving effort"
Psychology,Learning,"Cognition, language & intelligence",latent learning,learning that takes place in the absence of any observable behavior to show that it has occurred. This learning can later manifest and be demonstrated as observable behavior when it is required
Psychology,Learning,"Cognition, language & intelligence",libido,"according to psychoanalytic theory, the libido is the life instinct, which drives behaviors focused on survival, growth, creativity, pain avoidance, and seeking pleasure"
Psychology,Learning,"Cognition, language & intelligence",principle of aggregation,"idea that an attitude affects a person's aggregate or average behavior, but cannot necessarily predict each isolated act"
Psychology,Learning,"Cognition, language & intelligence",prison study (Stanford prison study),"experiment conducted by Philip Zimbardo designed to elucidate the extreme effects of role-playing on human behavior. 24 male students were isolated and asked to play the roles of prisoners and guards; the participants adapted to their roles well beyond Zimbardo's expectations. The ""guards"" enforced extreme measures, including psychological torture, and many of the prisoners passively accepted psychological abuse and readily harassed other prisoners who attempted to prevent it"
Psychology,Learning,"Cognition, language & intelligence",reciprocal determination,"reciprocal interaction between a person's behaviors (conscious actions), personal factors (cognitions, motivations, personality), and environmental factors"
Psychology,Learning,"Cognition, language & intelligence",reflex,automatic behaviors that occur without thinking
Psychology,Learning,"Cognition, language & intelligence",relearning,process of learning material that was originally learned
Psychology,Learning,"Cognition, language & intelligence",social cognitive perspective,"personality is formed by a reciprocal interaction among behavioral, cognitive, and environmental factors"
Psychology,Learning,"Cognition, language & intelligence",source traits,factors underlying human personality and behavior
Psychology,Development,Cognitive & moral development theories,anal stage,the second stage of Freud's five psychosexual stages; in this stage the child seeks sensual pleasure through control of elimination
Psychology,Development,Cognitive & moral development theories,bilateral descent,system of lineage in which the relatives on the mother's side and father's side are considered equally important
Psychology,Development,Cognitive & moral development theories,charismatic authority,"form of leadership where devotion is reliant upon an individual with exceptional charisma (persuasiveness, charm, and ability to connect with people)"
Psychology,Development,Cognitive & moral development theories,concrete operational stage,Piaget's third stage of his developmental theory where children aged 7-11 learn to think logically and learn the principle of conservation as well as mathematical concepts
Psychology,Development,Cognitive & moral development theories,confederates,"person who is working with the experimenter and posing as a part of the experiment, but the subjects are not aware of this affiliation"
Psychology,Development,Cognitive & moral development theories,depth of processing,idea that information that is thought about at a deeper level is better remembered
Psychology,Development,Cognitive & moral development theories,discrimination,"unjust treatment of a group, based on group characteristics (such as age, sex, race, ethnicity, disability)"
Psychology,Development,Cognitive & moral development theories,divided attention,ability to focus on multiple tasks simultaneously
Psychology,Development,Cognitive & moral development theories,dyssomnias,"broad category of disorders involving abnormalities in the amount, quality, or timing of sleep including insomnia, narcolepsy, and sleep apnea"
Psychology,Development,Cognitive & moral development theories,ego,"in freud's psychoanalytic theory, the ego is ruled by the reality principle, and uses logical thinking and planning to control consciousness and the id (the unconscious driving force ruled by the pleasure principle)"
Psychology,Development,Cognitive & moral development theories,Electra complex,"complex that occurs during the phallic stage (third of Frued's psychosexual stages) when a female child is sexually attracted to her father and hostile toward her mother, who is seen as a rival"
Psychology,Development,Cognitive & moral development theories,explicit (declarative) memory,memories that can be consciously recalled such as factual knowledge
Psychology,Development,Cognitive & moral development theories,foot-in-the-door phenomenon,"strategy that involves enticing people to take small actions, and then gradually asking for larger and larger commitments"
Psychology,Development,Cognitive & moral development theories,formal operational stage,"Piaget's fourth stage of his developmental theory from age 12- adulthood. During this stage, people learn abstract and moral reasoning"
Psychology,Development,Cognitive & moral development theories,fundamentalists,people who observe strict adherence to religious beliefs
Psychology,Development,Cognitive & moral development theories,hallucination,false sensory perception that occurs while a person is conscious (not during sleep or delirium)
Psychology,Development,Cognitive & moral development theories,id,"according to freud's psychoanalytic theory, the largely unconscious id is the source of energy and instincts. Ruled by the pleasure principle, the id seeks to reduce tension, avoid pain, and gain pleasure. It doesn't use logical or moral reasoning, and it doesn't distinguish mental images from external objects and according to freud, young children function almost entirely from the id"
Psychology,Development,Cognitive & moral development theories,internal locus of control,belief of an individual that she is able to influence outcomes through her own efforts and actions
Psychology,Development,Cognitive & moral development theories,language,symbolic system that is codified for communication
